LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID2084,2084,7,-1.0,94.95717625734147,78.3165079099673,0.0,0.0,0,5.0,1,,146.82641453685844,146.0,84.0,222.0,993868.0,17.869846614014712,104.7185699512511,95.0,0.0,255.0,708840.0,41.87203444874183,0.0012516045542805515,0.02054174218453512,0.059921838987217334,0.28277494629125655
ID2094,2094,7,-1.0,90.16117577294543,79.4791746940633,0.0,2445.0,163,5.0,1,,149.65046535677357,149.0,68.0,235.0,1012984.0,23.066710611846545,98.6853301817133,91.0,0.0,255.0,668001.0,37.035363733286125,0.027257142136230185,0.3442893189913161,0.0649473763002644,0.32501203532681927
ID2087,2087,7,-1.0,90.74250916499342,76.57250773382329,0.0,945.0,63,5.0,1,,151.37642192347346,151.0,88.0,210.0,1024667.0,15.408776382913757,100.85965430639897,95.0,0.0,255.0,682719.0,37.161765951571084,0.024639482685756112,0.4724768971057744,0.05403352446189321,0.27826590651926103
ID2101,2101,8,-1.0,133.61584682853388,98.8085099796595,0.0,2820.0,188,5.0,1,,154.51144925395278,156.0,38.0,255.0,1045888.0,38.21870264772043,107.2799527256624,95.0,0.0,255.0,726178.0,44.97032855771427,0.039153881142151785,0.3046559575677077,0.07231587331278047,0.3217610044437176
ID2098,2098,8,-1.0,134.9238469606419,95.46584297538348,0.0,1065.0,71,5.0,1,,153.82863052149736,152.0,89.0,229.0,1041266.0,24.05548283947326,97.2424287191648,87.0,0.0,255.0,658234.0,41.235537572291726,0.032448741521208004,0.4019596409710532,0.04050881499375813,0.1836191223767326
ID2105,2105,9,-1.0,137.68518057286988,117.70184522121971,0.0,30.0,2,5.0,1,,149.1011966317036,149.0,68.0,219.0,1009266.0,19.291651081849995,102.00236371694874,99.0,7.0,255.0,690454.0,31.17535520551033,0.022227066121547366,0.3361061752234052,0.03204775276540957,0.2032013599165247
ID2115,2115,9,-1.0,118.9371786793217,123.22451244567576,0.0,3555.0,237,5.0,1,,150.97621509824194,152.0,84.0,205.0,1021958.0,18.708868086273096,114.01019352932212,111.0,0.0,255.0,771735.0,46.57374280652196,0.04501098964371757,0.695166316250089,0.09682525047868325,0.4321989696067086
ID2108,2108,9,-1.0,132.45318004443783,120.0271787894117,0.0,2325.0,155,5.0,1,,146.02437583099578,151.0,55.0,240.0,988439.0,34.314170825515184,104.35337568326425,95.0,0.0,255.0,706368.0,42.71618415190711,0.01256224105726448,0.10559108191229322,0.06719037052298994,0.3076161880709199
ID2111,2111,9,-1.0,134.63318026461786,118.2831786132677,0.0,2415.0,161,5.0,1,,144.50864234007912,146.0,56.0,242.0,978179.0,34.10753346851931,102.87442753730421,95.0,0.0,255.0,696357.0,39.363890161061505,0.008747564702545528,0.07348152599965542,0.07109425560108454,0.3469334996172113
ID2129,2129,10,-1.0,145.09718132148197,108.6911776444756,0.0,3555.0,237,5.0,1,,159.00132959078232,157.0,26.0,255.0,1076280.0,40.09970763740611,97.11006057024774,87.0,0.0,255.0,657338.0,43.71563663110834,0.06887520010545638,0.5110053161678575,0.06468989846408346,0.26994217894690387
ID2122,2122,10,-1.0,152.50918207009403,104.47651055212756,0.0,870.0,58,5.0,1,,148.19810902644284,149.0,73.0,214.0,1003153.0,19.67107376316275,98.63495346432623,91.0,0.0,255.0,667660.0,40.169166092319614,0.01176969300206743,0.1752782625677302,0.064225456910369,0.29637501096615815
ID2125,2125,10,-1.0,145.67851471352998,109.56317773254762,0.0,3555.0,237,5.0,1,,156.20091594031717,154.0,48.0,255.0,1057324.0,39.38437072689301,97.5779287930282,87.0,0.0,255.0,660505.0,43.789229528719964,0.06006222531744839,0.4494275807292691,0.06686759760020794,0.27933122271382294
ID2119,2119,10,-1.0,156.4331824664181,103.89517716007956,0.0,0.0,0,5.0,1,,148.63022603043194,147.0,83.0,215.0,1006078.0,19.10988913750748,101.97473777515474,95.0,0.0,255.0,690267.0,40.39497056064893,0.013506366650590412,0.20729604690322218,0.06579634200096957,0.3116899655298821
ID2137,2137,11,-1.0,113.70517815088965,131.79917997838385,0.0,885.0,59,5.0,1,,153.20327965726176,152.0,75.0,204.0,1037033.0,19.94870152546167,110.55695080514191,103.0,4.0,255.0,748360.0,42.87102733262277,0.04416579247374701,0.6496807394559873,0.07129713229933486,0.3432529487839195
ID2145,2145,11,-1.0,115.15851163100967,122.78851240163975,0.0,3555.0,237,5.0,1,,144.40788890530158,146.0,66.0,202.0,977497.0,19.53678570480852,115.57275816220809,103.0,0.0,255.0,782312.0,50.52884100332267,0.0017737256444043733,0.02617487462278946,0.10200811966637016,0.42344409852524295
